epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,427.015,1.34718,2.16706,1.05727,0.50153,0.26467,0.29829,0.2041,1.30853,2.32013,1.1217,1.84366e-05,1.84366e-05,1.84366e-05
71,431.863,1.32499,2.23752,1.06307,0.52068,0.26368,0.30834,0.21191,1.29812,2.30657,1.11673,1.8298e-05,1.8298e-05,1.8298e-05
72,438.253,1.29264,2.16129,1.05024,0.52572,0.26604,0.30983,0.21288,1.28909,2.30697,1.11346,1.81594e-05,1.81594e-05,1.81594e-05
73,443.187,1.29049,2.05246,1.04871,0.46252,0.29888,0.31356,0.21562,1.2845,2.28677,1.11114,1.80208e-05,1.80208e-05,1.80208e-05
74,449.321,1.31227,2.06278,1.05333,0.47845,0.30808,0.31795,0.21907,1.27993,2.26946,1.10858,1.78822e-05,1.78822e-05,1.78822e-05
75,454.57,1.3349,2.04524,1.05325,0.47273,0.31929,0.32279,0.22263,1.27537,2.25031,1.10676,1.77436e-05,1.77436e-05,1.77436e-05
76,460.157,1.27161,2.04995,1.04205,0.47939,0.32137,0.32482,0.22578,1.26895,2.23354,1.10546,1.7605e-05,1.7605e-05,1.7605e-05
77,465.815,1.273,1.89631,1.06307,0.49276,0.31673,0.32948,0.22804,1.27069,2.23574,1.10625,1.74664e-05,1.74664e-05,1.74664e-05
78,470.98,1.27913,2.01438,1.06022,0.49511,0.31496,0.32979,0.22762,1.27289,2.21396,1.10689,1.73278e-05,1.73278e-05,1.73278e-05
79,477.231,1.26879,1.97124,1.03991,0.5079,0.31764,0.33332,0.22969,1.27738,2.19477,1.10792,1.71892e-05,1.71892e-05,1.71892e-05
80,482.307,1.29179,1.92055,1.05297,0.5046,0.31962,0.33584,0.23028,1.28831,2.16641,1.11126,1.70506e-05,1.70506e-05,1.70506e-05
81,488,1.28083,1.92254,1.04664,0.50994,0.31956,0.34036,0.23396,1.28635,2.15901,1.11063,1.6912e-05,1.6912e-05,1.6912e-05
82,493.577,1.30013,1.93596,1.03495,0.48333,0.33148,0.34539,0.23758,1.28415,2.1455,1.10889,1.67734e-05,1.67734e-05,1.67734e-05
83,499.071,1.2846,1.94357,1.05119,0.49074,0.33587,0.34873,0.24045,1.28096,2.13989,1.10689,1.66348e-05,1.66348e-05,1.66348e-05
84,505.538,1.27847,1.88583,1.03472,0.48989,0.34319,0.3538,0.24333,1.28024,2.12719,1.10562,1.64962e-05,1.64962e-05,1.64962e-05
85,510.479,1.28313,1.90052,1.04239,0.49531,0.3446,0.35825,0.24532,1.27799,2.11531,1.10447,1.63576e-05,1.63576e-05,1.63576e-05
86,516.501,1.29481,1.82389,1.0432,0.50804,0.34574,0.35976,0.2479,1.27128,2.11335,1.10322,1.6219e-05,1.6219e-05,1.6219e-05
87,522.155,1.30734,1.86749,1.0584,0.50542,0.35277,0.36104,0.24801,1.27084,2.10361,1.10268,1.60804e-05,1.60804e-05,1.60804e-05
88,528.336,1.24731,1.81509,1.03584,0.50515,0.35216,0.36347,0.24913,1.26647,2.09427,1.10156,1.59418e-05,1.59418e-05,1.59418e-05
