epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,802,0.96096,0.74447,1.09192,0.8456,0.79827,0.85477,0.64605,0.94469,0.56632,1.10956,2.14847e-05,2.14847e-05,2.14847e-05
60,814.968,0.97385,0.75465,1.09538,0.83621,0.81156,0.85615,0.6504,0.93994,0.55944,1.11443,2.12784e-05,2.12784e-05,2.12784e-05
61,827.975,0.96969,0.74779,1.08389,0.86143,0.78949,0.85854,0.65905,0.90754,0.54963,1.09749,2.107e-05,2.107e-05,2.107e-05
62,841.318,0.96269,0.74719,1.08421,0.885,0.77327,0.86329,0.66128,0.91198,0.54613,1.10135,2.08595e-05,2.08595e-05,2.08595e-05
63,854.748,0.95372,0.71789,1.07686,0.88363,0.78648,0.86247,0.66577,0.90287,0.54628,1.09366,2.06469e-05,2.06469e-05,2.06469e-05
64,868.224,0.95196,0.72283,1.09101,0.85943,0.80242,0.86316,0.66433,0.9076,0.54045,1.09495,2.04323e-05,2.04323e-05,2.04323e-05
65,881.097,0.94412,0.71431,1.08559,0.8481,0.80993,0.86949,0.67224,0.90413,0.53341,1.09107,2.02158e-05,2.02158e-05,2.02158e-05
66,894.553,0.93451,0.7179,1.08216,0.87323,0.79854,0.8698,0.67472,0.89764,0.53049,1.09159,1.99975e-05,1.99975e-05,1.99975e-05
67,908.042,0.95127,0.7107,1.06798,0.8761,0.79824,0.87416,0.67649,0.89383,0.53286,1.0856,1.97774e-05,1.97774e-05,1.97774e-05
68,921.494,0.9481,0.7249,1.07003,0.86992,0.81044,0.87428,0.67825,0.88318,0.52256,1.08458,1.95555e-05,1.95555e-05,1.95555e-05
69,934.918,0.93968,0.71605,1.07381,0.84328,0.83394,0.87753,0.68497,0.8814,0.51892,1.08151,1.9332e-05,1.9332e-05,1.9332e-05
70,948.209,0.93284,0.69285,1.07555,0.87409,0.81606,0.87677,0.67689,0.89971,0.52075,1.09011,1.9107e-05,1.9107e-05,1.9107e-05
71,961.122,0.93058,0.70525,1.07867,0.88644,0.80877,0.87695,0.68518,0.88046,0.51506,1.08008,1.88804e-05,1.88804e-05,1.88804e-05
72,974.626,0.91663,0.70712,1.05267,0.88262,0.81147,0.87173,0.67911,0.87321,0.51803,1.07875,1.86524e-05,1.86524e-05,1.86524e-05
73,987.627,0.9253,0.68232,1.06609,0.89145,0.81165,0.88296,0.69057,0.87662,0.5075,1.08045,1.8423e-05,1.8423e-05,1.8423e-05
74,1001.11,0.91383,0.66925,1.05621,0.8824,0.81885,0.88065,0.68938,0.86814,0.50032,1.07324,1.81923e-05,1.81923e-05,1.81923e-05
75,1014.05,0.91064,0.67725,1.0654,0.86962,0.82472,0.8867,0.69491,0.86229,0.49707,1.07404,1.79603e-05,1.79603e-05,1.79603e-05
76,1027.42,0.92438,0.69694,1.07272,0.87725,0.8327,0.88358,0.69238,0.86714,0.50447,1.07422,1.77272e-05,1.77272e-05,1.77272e-05
77,1040.26,0.90723,0.67288,1.07607,0.86278,0.84836,0.88526,0.6913,0.8671,0.50194,1.0752,1.7493e-05,1.7493e-05,1.7493e-05
78,1053.17,0.89169,0.67197,1.05838,0.8885,0.82616,0.88725,0.69726,0.86259,0.49778,1.07368,1.72578e-05,1.72578e-05,1.72578e-05
79,1066.63,0.92283,0.68193,1.07456,0.89911,0.83061,0.89111,0.70068,0.85529,0.49767,1.06925,1.70217e-05,1.70217e-05,1.70217e-05
80,1080.11,0.91066,0.65743,1.05589,0.89871,0.81999,0.89469,0.70279,0.85882,0.49168,1.06911,1.67846e-05,1.67846e-05,1.67846e-05
81,1093.54,0.90761,0.65349,1.075,0.88625,0.83168,0.89634,0.70625,0.86516,0.49378,1.07064,1.65468e-05,1.65468e-05,1.65468e-05
82,1106.96,0.90537,0.66351,1.05889,0.90966,0.81227,0.89324,0.69616,0.88753,0.48856,1.08446,1.63082e-05,1.63082e-05,1.63082e-05
83,1119.8,0.90297,0.65564,1.0742,0.88654,0.83562,0.89626,0.71186,0.849,0.48314,1.06612,1.60689e-05,1.60689e-05,1.60689e-05
84,1133.22,0.8951,0.65202,1.05461,0.90211,0.82235,0.89276,0.70789,0.84691,0.47931,1.06513,1.58291e-05,1.58291e-05,1.58291e-05
85,1146.15,0.8961,0.64645,1.05247,0.88358,0.83611,0.89459,0.7094,0.84583,0.47682,1.06241,1.55888e-05,1.55888e-05,1.55888e-05
86,1158.95,0.89808,0.65424,1.06888,0.87294,0.84493,0.8992,0.71198,0.85764,0.48043,1.06841,1.5348e-05,1.5348e-05,1.5348e-05
87,1172.34,0.90081,0.64243,1.05481,0.91518,0.82199,0.90005,0.71235,0.84824,0.47681,1.063,1.51068e-05,1.51068e-05,1.51068e-05
88,1185.73,0.89063,0.65396,1.05828,0.91237,0.81598,0.89649,0.71082,0.84605,0.47479,1.06147,1.48654e-05,1.48654e-05,1.48654e-05
89,1198.61,0.89791,0.64192,1.05161,0.88842,0.83693,0.89938,0.71358,0.83978,0.46952,1.05937,1.46237e-05,1.46237e-05,1.46237e-05
90,1212.02,0.88754,0.6417,1.04912,0.88549,0.8445,0.89974,0.71691,0.83251,0.46777,1.05264,1.43819e-05,1.43819e-05,1.43819e-05
91,1225.34,0.88514,0.63335,1.06019,0.86837,0.85398,0.89726,0.71165,0.84423,0.47184,1.05991,1.414e-05,1.414e-05,1.414e-05
92,1238.2,0.87526,0.63306,1.05837,0.8796,0.85264,0.89877,0.71407,0.83032,0.46772,1.05284,1.38981e-05,1.38981e-05,1.38981e-05
93,1251.21,0.86969,0.63288,1.04578,0.88453,0.85421,0.90069,0.71383,0.83849,0.46516,1.059,1.36563e-05,1.36563e-05,1.36563e-05
94,1264.04,0.87207,0.63557,1.05802,0.88797,0.85484,0.90009,0.71783,0.82381,0.4632,1.05323,1.34146e-05,1.34146e-05,1.34146e-05
95,1277.43,0.88065,0.63383,1.04227,0.9092,0.83917,0.90457,0.72223,0.81748,0.4607,1.04798,1.31732e-05,1.31732e-05,1.31732e-05
96,1290.79,0.87344,0.62417,1.04305,0.91506,0.83758,0.90304,0.72281,0.81974,0.45997,1.04778,1.2932e-05,1.2932e-05,1.2932e-05
97,1304.21,0.89167,0.63446,1.04916,0.89873,0.85657,0.90355,0.72348,0.81357,0.45642,1.04537,1.26912e-05,1.26912e-05,1.26912e-05
