                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.5083,                 5.4536,                 1.0837,                0.00956,                0.05609,                0.01687,                0.01135,                 1.3652,                 5.3161,                 1.0585,             1.4694e-05,             1.4694e-05,             1.4694e-05
                     51,                 1.5742,                 5.5533,                 1.0913,                 0.0095,                0.05613,                0.01704,                0.01147,                 1.3629,                 5.3189,                 1.0577,             1.4417e-05,             1.4417e-05,             1.4417e-05
                     52,                 1.4746,                 5.4649,                 1.0729,                0.21157,                0.04365,                0.01726,                0.01162,                 1.3654,                 5.2911,                 1.0574,              1.414e-05,              1.414e-05,              1.414e-05
                     53,                 1.5144,                 5.4669,                 1.0756,                0.27012,                0.04049,                0.01782,                0.01196,                 1.3647,                 5.2699,                 1.0559,             1.3863e-05,             1.3863e-05,             1.3863e-05
                     54,                  1.522,                 5.4449,                 1.0885,                0.33072,                0.03221,                0.01811,                0.01221,                 1.3628,                 5.2582,                 1.0556,             1.3586e-05,             1.3586e-05,             1.3586e-05
                     55,                 1.5166,                 5.4379,                 1.0776,                0.37318,                0.02617,                 0.0187,                0.01269,                 1.3618,                 5.2529,                 1.0552,             1.3308e-05,             1.3308e-05,             1.3308e-05
                     56,                 1.5159,                 5.4589,                 1.0742,                0.39182,                0.02232,                0.01897,                 0.0129,                 1.3621,                 5.2593,                 1.0553,             1.3031e-05,             1.3031e-05,             1.3031e-05
                     57,                 1.4842,                  5.372,                 1.0731,                0.40195,                0.02152,                0.01922,                0.01307,                 1.3623,                 5.2453,                  1.055,             1.2754e-05,             1.2754e-05,             1.2754e-05
                     58,                 1.5252,                 5.4283,                 1.0767,                0.42227,                0.02029,                0.01958,                0.01323,                 1.3641,                 5.2413,                 1.0558,             1.2477e-05,             1.2477e-05,             1.2477e-05
                     59,                 1.5018,                 5.4214,                 1.0824,                0.43423,                0.02061,                 0.0203,                0.01385,                 1.3624,                 5.2446,                 1.0556,               1.22e-05,               1.22e-05,               1.22e-05
                     60,                 1.5289,                  5.373,                 1.0618,                0.43857,                 0.0212,                0.02091,                0.01432,                 1.3634,                 5.2274,                 1.0541,             1.1922e-05,             1.1922e-05,             1.1922e-05
                     61,                 1.5369,                 5.4132,                 1.0775,                0.44131,                0.02146,                0.02148,                0.01475,                 1.3651,                 5.2228,                 1.0538,             1.1645e-05,             1.1645e-05,             1.1645e-05
                     62,                 1.5153,                  5.423,                 1.0716,                0.42529,                0.02282,                0.02217,                0.01513,                 1.3664,                 5.2112,                 1.0536,             1.1368e-05,             1.1368e-05,             1.1368e-05
                     63,                  1.546,                 5.3805,                 1.0759,                0.42517,                0.02341,                0.02249,                0.01529,                 1.3632,                 5.1966,                 1.0515,             1.1091e-05,             1.1091e-05,             1.1091e-05
                     64,                 1.5209,                 5.3777,                 1.0713,                0.43406,                0.02311,                0.02285,                0.01545,                 1.3591,                 5.1967,                 1.0499,             1.0814e-05,             1.0814e-05,             1.0814e-05
                     65,                 1.5173,                 5.2934,                 1.0606,                0.43414,                0.02299,                 0.0231,                 0.0157,                 1.3573,                 5.1994,                 1.0481,             1.0536e-05,             1.0536e-05,             1.0536e-05
                     66,                 1.5331,                 5.3507,                 1.0809,                 0.4333,                0.02309,                 0.0235,                0.01592,                 1.3562,                 5.2004,                 1.0479,             1.0259e-05,             1.0259e-05,             1.0259e-05
                     67,                 1.5155,                 5.3257,                  1.073,                0.42577,                0.02337,                 0.0239,                0.01628,                 1.3568,                  5.201,                 1.0486,              9.982e-06,              9.982e-06,              9.982e-06
                     68,                  1.511,                 5.2725,                 1.0739,                0.41795,                0.02442,                0.02423,                0.01643,                 1.3571,                  5.175,                 1.0463,             9.7048e-06,             9.7048e-06,             9.7048e-06
                     69,                 1.5252,                 5.3103,                 1.0696,                0.42204,                0.02453,                0.02452,                0.01663,                 1.3593,                 5.1641,                 1.0473,             9.4276e-06,             9.4276e-06,             9.4276e-06
                     70,                 1.5001,                 5.3335,                 1.0672,                0.41908,                0.02421,                 0.0248,                0.01685,                 1.3592,                 5.1507,                 1.0477,             9.1504e-06,             9.1504e-06,             9.1504e-06
                     71,                 1.5441,                 5.3291,                 1.0812,                0.43376,                0.02497,                0.02511,                0.01696,                  1.361,                 5.1402,                 1.0486,             8.8732e-06,             8.8732e-06,             8.8732e-06
                     72,                 1.5019,                 5.2885,                 1.0696,                0.43735,                0.02524,                0.02629,                0.01789,                 1.3649,                 5.1209,                 1.0494,              8.596e-06,              8.596e-06,              8.596e-06
                     73,                 1.5546,                 5.3229,                 1.0696,                0.45657,                0.02544,                0.02694,                0.01831,                 1.3647,                 5.1226,                 1.0489,             8.3188e-06,             8.3188e-06,             8.3188e-06
                     74,                 1.5292,                 5.2862,                 1.0799,                0.45632,                0.02524,                0.02738,                0.01868,                 1.3639,                 5.1189,                 1.0483,             8.0416e-06,             8.0416e-06,             8.0416e-06
                     75,                 1.5328,                 5.2558,                  1.071,                0.45235,                0.02654,                0.02776,                0.01905,                 1.3632,                 5.1021,                 1.0471,             7.7644e-06,             7.7644e-06,             7.7644e-06
                     76,                  1.482,                 5.2762,                 1.0761,                0.45214,                0.02702,                0.02783,                0.01916,                 1.3645,                 5.0877,                 1.0485,             7.4872e-06,             7.4872e-06,             7.4872e-06
